ordinal,sku,asin,disposition,recipe_keys,expected_total_units,current_other_slots,current_additional_after_card,approved_card_slots,hard_violation_codes,hold_reason_codes,relaxed_exceptions_applied,explicit_wrong_product_or_claim,source_row_evidence_sha256,row_evidence_sha256
67,LU-ASK0-LSDF,B0H84YZDB7,KEEP,PB_PLAIN|PB_GRAPE,24,7,6,1,,,KEEP_OWNER_RELAXED_MULTI_FLAVOR_CONTEXT,false,9791360a6c71a15626fb3fd16dd5504ca8fed6deb6a5cf40b0ff67d0b2e3f510,312c7f46c4cd7d8d84f505eebefc1b4a8b3bf5e38ee151181a45bc551424998e
68,ME-AS1I-SEX2,B0H83RVHNF,KEEP,PB_CHOCOLATE_FLAVORED_SPREAD,90,7,6,1,,,,false,374b8d1dd02d85ba056de3573a961dd852e81bb543cb1af5d303e2e774dcb6f2,af5c26613f054864b20d6e591593a0a528b72c3ae576d6dea99d16d6b5e34b62
69,MF-AS0J-YRT4,B0H82NHQCL,KEEP,WHOLE_WHEAT_PB_STRAWBERRY,24,7,6,1,,,KEEP_OWNER_RELAXED_MULTI_FLAVOR_CONTEXT,false,f0479e5dcd258120e0cabe3cb434b0a0c87f6f395b34d278467a865fac060c30,2ab80f57ab6d98ae1437081f8e2c568a00ff6de732862d41fcdfefc15b7aff81
70,MP-ASYO-QNU2,B0H84Z9KWL,KEEP,PB_HONEY|PB_GRAPE,24,7,6,1,,,KEEP_OWNER_RELAXED_MULTI_FLAVOR_CONTEXT,false,bc5d019f399fcd671f87738d3e7798aa053d9513dee9bcefd5e5b8daebf86914,b94d38273301c5934a35ac5f0fa53e7165aabf566d831d2472948a242a901ca4
71,MP-ASZ9-TKE7,B0H837HLKC,KEEP,PB_MIXED_BERRY_MORNING_PROTEIN,30,5,4,1,,,KEEP_OWNER_RELAXED_RETAILER_CONTEXT,false,5f85bd2ef8a29b07cbf4f0f86968cbf3971c2d65ca744b6aa81c6896f638bbf2,452293b152f1ab5937f028e60f75dac3fc1c88f52a47f4a748d2c8865efd223a
72,NC-ASPL-EXE8,B0H83QRV43,KEEP,PB_STRAWBERRY_PROTEIN|WHOLE_WHEAT_PB_STRAWBERRY,24,7,6,1,,,,false,70c8436fe92e66971e383afa32012637d45a45db6663f0472d2419b19ee85576,09f941679a704c2e4c6b21c84f05876810a83a4320945850fd1d4ad4e7f2917e
73,NJ-ASAC-PTK2,B0H82X48CD,KEEP,WHOLE_WHEAT_PB_STRAWBERRY,24,7,6,1,,,KEEP_OWNER_RELAXED_MULTI_FLAVOR_CONTEXT,false,d0a761cfb63e5afa582676e7881d767474d0ae1064c4277dfd45b12d8cc03db7,51eed31ae708cff8e37aa0507f7dee1095d8d967c0f57bedd23960b5947d1a74
74,NM-ASEW-S2SK,B0H86TVN3C,KEEP,PB_MIXED_BERRY_MORNING_PROTEIN,24,5,4,1,,,KEEP_OWNER_RELAXED_RETAILER_CONTEXT,false,b1bd5c9fed55f2b46ddc032b5f007dd97b068852d15954e51efeaab1407bd29a,2c42d6e9234c963befccddc666b9252c2c3192046355f3460bec77433393e070
75,NS-ASSD-B3JJ,B0H82L945T,KEEP,PB_MIXED_BERRY,24,7,6,1,,,,false,7af01e875293234b86323ce9a4e26f2e7fba48f443d5875be958ecbb31388490,f4bb5c0edd2cfcae70f634d847de8b5699d9aebc84ae6fade1900a363dba885b
76,NT-ASIL-V5LK,B0H84547PM,KEEP,PB_STRAWBERRY_PROTEIN|PB_CHOCOLATE_FLAVORED_SPREAD,24,7,6,1,,,,false,00b69adf55f9d0861e21db0bd858e7f70aba8f899eab4323e6e6c6876c3b0ba3,cd05fab2dea6db878f2dee2ba4487cd1c413860c605849784161ff2df5c74dea
