store,sku,asin,total,cooler,landed,current_item_price,target_item_price,delta_pct,status,fulfillment,title
store1,714671746562,B0G2N71NCH,48,M,90.90,139.54,136.35,2,Active,DEFAULT,"Uncrustables Chocolate Hazelnut & Peanut Butter Raspberry Spread Sandwiches Gift Set, 7.2 oz, 4 count each – Pack of 12 (total 48 pieces)"
store1,714671746579,B0G2N6Q7JB,64,L,123.10,187.75,184.65,2,Active,DEFAULT,"Uncrustables Chocolate Hazelnut & Peanut Butter Raspberry Spread Sandwiches Gift Set, 7.2 oz, 4 count each – Pack of 16 (total 64 pieces)"
store1,743269735947,B0FL2TXRW1,64,L,123.10,189.11,184.65,2,Active,DEFAULT,"Salutem Vita – Uncrustables Frozen Peanut Butter and Grape Jelly Sandwiches, Gift Set, 4 count – Pack of 16 (total 64 pieces)"
store1,743269735985,B0FL2X4WZN,64,L,123.10,189.11,184.65,2,Active,DEFAULT,"Salutem Vita – Uncrustables Frozen Peanut Butter & Mixed Berry Spread Sandwich, Chocolate Hazelnut Spread Sandwich, Gift Set, 4 count – Pack of 16, 4 of Each flavor (total 64 pieces)"
store1,743269740637,B0G2BH1H1V,64,L,123.10,187.63,184.65,2,Active,DEFAULT,"Uncrustables Peanut Butter & Chocolate Hazelnut Spread Sandwiches, Gift Set, 7,2 oz, 4 count each – Pack of 16 (total 64 pieces)"
store1,743269740866,B0G2N5N7QB,48,M,90.90,139.54,136.35,2,Active,DEFAULT,"Smucker's Uncrustables Peanut Butter & Mixed Berry Spread Sandwiches, Gift Set, 7.2 oz, 4 count each – Pack of 12 (total 48 pieces)"
store1,743269741108,B0G2N43VXS,48,M,90.90,139.54,136.35,2,Active,DEFAULT,"Smucker's Uncrustables Peanut Butter & Raspberry Spread Sandwiches, Gift Set, 7.2 oz, 4 count each – Pack of 12 (total 48 pieces)"
store1,714671745954,B0G2N5GYS5,24,S,51.50,78.22,77.25,1,Active,DEFAULT,"Smucker's Uncrustables Peanut Butter & Mixed Berry Spread Sandwiches, Gift Set, 7.2 oz, 4 count each – Pack of 6 (total 24 pieces)"
store1,714671746609,B0G2N4BL8F,48,M,90.90,137.84,136.35,1,Active,DEFAULT,"Smucker's Uncrustables Peanut Butter & Strawberry Jam Sandwiches, Gift Set, 7.2 oz, 4 count each – Pack of 12 (total 48 pieces)"
store1,743269740897,B0G2N4WJL4,24,S,51.50,78.01,77.25,1,Active,DEFAULT,"Smucker's Uncrustables Peanut Butter & Grape Jelly Sandwiches, Gift Set, 7.2 oz, 4 count each – Pack of 6 (total 24 pieces)"
